﻿省份,城市,日期,累计确诊,新增确诊,累计治愈,新增治愈,累计死亡,新增死亡,新增无症状,新增本土确诊
广东,阳江,2022-12-17,597,19,53,0,0,0,0,19
广东,阳江,2022-12-16,578,37,53,0,0,0,0,37
广东,阳江,2022-12-15,541,32,53,0,0,0,0,32
广东,阳江,2022-12-14,509,27,53,0,0,0,0,27
广东,阳江,2022-12-13,482,29,53,0,0,0,12,29
广东,阳江,2022-12-12,453,28,53,0,0,0,8,28
广东,阳江,2022-12-11,425,33,53,0,0,0,11,33
广东,阳江,2022-12-10,392,30,53,0,0,0,17,30
广东,阳江,2022-12-09,362,44,53,0,0,0,14,44
广东,阳江,2022-12-08,318,45,53,0,0,0,22,45
广东,阳江,2022-12-07,273,24,53,0,0,0,17,24
广东,阳江,2022-12-06,249,25,53,0,0,0,15,25
广东,阳江,2022-12-05,224,26,53,0,0,0,13,26
广东,阳江,2022-12-04,198,26,53,0,0,0,8,26
广东,阳江,2022-12-03,172,23,53,0,0,0,1,23
广东,阳江,2022-12-02,149,6,53,0,0,0,3,6
广东,阳江,2022-12-01,143,5,53,0,0,0,2,5
广东,阳江,2022-11-30,138,1,53,0,0,0,1,1
广东,阳江,2022-11-29,137,2,53,0,0,0,0,2
广东,阳江,2022-11-28,135,2,53,0,0,0,1,2
广东,阳江,2022-11-27,133,3,53,0,0,0,0,3
广东,阳江,2022-11-26,130,1,53,0,0,0,3,1
广东,阳江,2022-11-25,129,4,53,0,0,0,0,4
广东,阳江,2022-11-24,125,10,53,0,0,0,3,10
广东,阳江,2022-11-23,115,3,53,0,0,0,6,3
广东,阳江,2022-11-22,112,2,53,0,0,0,6,2
广东,阳江,2022-11-21,110,2,53,0,0,0,6,2
广东,阳江,2022-11-20,108,3,53,0,0,0,5,3
广东,阳江,2022-11-19,105,5,53,0,0,0,5,5
广东,阳江,2022-11-18,100,15,53,0,0,0,5,15
广东,阳江,2022-11-17,85,5,53,0,0,0,2,5
广东,阳江,2022-11-16,80,2,53,0,0,0,3,2
广东,阳江,2022-11-15,78,2,53,0,0,0,2,2
广东,阳江,2022-11-14,76,5,53,0,0,0,2,5
广东,阳江,2022-11-13,71,2,53,0,0,0,2,1
广东,阳江,2022-11-12,69,1,53,0,0,0,0,1
广东,阳江,2022-11-11,68,0,53,0,0,0,0,0
广东,阳江,2022-11-10,68,1,53,0,0,0,0,1
广东,阳江,2022-11-09,67,0,53,0,0,0,0,0
广东,阳江,2022-11-08,67,1,53,0,0,0,0,1
广东,阳江,2022-11-07,66,0,53,0,0,0,0,0
广东,阳江,2022-11-06,66,0,53,0,0,0,0,0
广东,阳江,2022-11-05,66,0,53,0,0,0,0,0
广东,阳江,2022-11-04,66,0,53,0,0,0,0,0
广东,阳江,2022-11-03,66,0,53,0,0,0,0,0
广东,阳江,2022-11-02,66,0,53,0,0,0,1,0
广东,阳江,2022-11-01,66,1,53,0,0,0,0,1
广东,阳江,2022-10-31,65,0,53,0,0,0,0,0
广东,阳江,2022-10-30,65,0,53,0,0,0,0,0
广东,阳江,2022-10-29,65,1,53,0,0,0,0,1
广东,阳江,2022-10-28,64,2,53,0,0,0,0,2
广东,阳江,2022-10-27,62,1,53,0,0,0,0,1
广东,阳江,2022-10-26,61,0,53,0,0,0,0,0
广东,阳江,2022-10-25,61,1,53,0,0,0,0,1
广东,阳江,2022-10-24,60,0,53,0,0,0,0,0
广东,阳江,2022-10-23,60,0,53,0,0,0,0,0
广东,阳江,2022-10-22,60,0,53,0,0,0,0,0
广东,阳江,2022-10-21,60,0,53,0,0,0,0,0
广东,阳江,2022-10-20,60,2,53,0,0,0,0,0
广东,阳江,2022-10-19,58,1,53,0,0,0,0,0
广东,阳江,2022-10-18,57,4,53,0,0,0,0,0
广东,阳江,2022-10-17,53,0,53,0,0,0,0,0
广东,阳江,2022-10-16,53,0,53,0,0,0,0,0
广东,阳江,2022-10-15,53,0,53,0,0,0,0,0
广东,阳江,2022-10-14,53,0,53,0,0,0,0,0
广东,阳江,2022-10-13,53,0,53,0,0,0,0,0
广东,阳江,2022-10-12,53,0,53,0,0,0,0,0
广东,阳江,2022-10-11,53,0,53,0,0,0,0,0
广东,阳江,2022-10-10,53,0,53,0,0,0,0,0
广东,阳江,2022-10-09,53,0,53,0,0,0,0,0
广东,阳江,2022-10-08,53,0,53,0,0,0,0,0
广东,阳江,2022-10-07,53,0,53,0,0,0,0,0
广东,阳江,2022-10-06,53,0,53,0,0,0,0,0
广东,阳江,2022-10-05,53,0,53,0,0,0,0,0
广东,阳江,2022-10-04,53,0,53,0,0,0,0,0
广东,阳江,2022-10-03,53,0,53,0,0,0,0,0
广东,阳江,2022-10-02,53,0,53,0,0,0,0,0
广东,阳江,2022-10-01,53,0,53,0,0,0,0,0
广东,阳江,2022-09-30,53,0,53,0,0,0,0,0
广东,阳江,2022-09-29,53,0,53,0,0,0,0,0
广东,阳江,2022-09-28,53,0,53,0,0,0,0,0
广东,阳江,2022-09-27,53,0,53,0,0,0,0,0
广东,阳江,2022-09-26,53,0,53,0,0,0,0,0
广东,阳江,2022-09-25,53,0,53,0,0,0,0,0
广东,阳江,2022-09-24,53,0,53,0,0,0,0,0
广东,阳江,2022-09-23,53,0,53,0,0,0,0,0
广东,阳江,2022-09-22,53,0,53,0,0,0,0,0
广东,阳江,2022-09-21,53,0,53,0,0,0,0,0
广东,阳江,2022-09-20,53,0,53,0,0,0,0,0
广东,阳江,2022-09-19,53,0,53,0,0,0,0,0
广东,阳江,2022-09-18,53,0,53,0,0,0,0,0
广东,阳江,2022-09-17,53,0,53,0,0,0,0,0
广东,阳江,2022-09-16,53,0,53,0,0,0,0,0
广东,阳江,2022-09-15,53,0,53,0,0,0,0,0
广东,阳江,2022-09-14,53,0,53,0,0,0,0,0
广东,阳江,2022-09-13,53,0,53,0,0,0,0,0
广东,阳江,2022-09-12,53,0,53,0,0,0,0,0
广东,阳江,2022-09-11,53,0,53,0,0,0,0,0
广东,阳江,2022-09-10,53,0,53,0,0,0,0,0
广东,阳江,2022-09-09,53,0,53,0,0,0,0,0
广东,阳江,2022-09-08,53,0,53,0,0,0,0,0
广东,阳江,2022-09-07,53,0,53,0,0,0,0,0
广东,阳江,2022-09-06,53,0,53,0,0,0,0,0
广东,阳江,2022-09-05,53,0,53,0,0,0,0,0
广东,阳江,2022-09-04,53,0,53,0,0,0,0,0
广东,阳江,2022-09-03,53,0,53,0,0,0,0,0
广东,阳江,2022-09-02,53,0,53,0,0,0,0,0
广东,阳江,2022-09-01,53,0,53,0,0,0,0,0
广东,阳江,2022-08-31,53,0,53,0,0,0,0,0
广东,阳江,2022-08-30,53,0,53,0,0,0,0,0
广东,阳江,2022-08-29,53,0,53,0,0,0,0,0
广东,阳江,2022-08-28,53,0,53,0,0,0,0,0
广东,阳江,2022-08-27,53,0,53,0,0,0,0,0
广东,阳江,2022-08-26,53,0,53,0,0,0,0,0
广东,阳江,2022-08-25,53,0,53,0,0,0,0,0
广东,阳江,2022-08-24,53,0,53,0,0,0,0,0
广东,阳江,2022-08-23,53,0,53,0,0,0,0,0
广东,阳江,2022-08-22,53,0,53,0,0,0,0,0
广东,阳江,2022-08-21,53,0,53,0,0,0,0,0
广东,阳江,2022-08-20,53,0,53,0,0,0,0,0
广东,阳江,2022-08-19,53,0,53,0,0,0,0,0
广东,阳江,2022-08-18,53,0,53,0,0,0,0,0
广东,阳江,2022-08-17,53,0,53,0,0,0,0,0
广东,阳江,2022-08-16,53,0,53,0,0,0,0,0
广东,阳江,2022-08-15,53,0,53,0,0,0,0,0
广东,阳江,2022-08-14,53,0,53,0,0,0,0,0
广东,阳江,2022-08-13,53,0,53,0,0,0,0,0
广东,阳江,2022-08-12,53,0,53,0,0,0,0,0
广东,阳江,2022-08-11,53,0,53,0,0,0,0,0
广东,阳江,2022-08-10,53,0,53,0,0,0,0,0
广东,阳江,2022-08-09,53,0,53,0,0,0,0,0
广东,阳江,2022-08-08,53,0,53,0,0,0,0,0
广东,阳江,2022-08-07,53,0,53,0,0,0,0,0
广东,阳江,2022-08-06,53,0,53,0,0,0,0,0
广东,阳江,2022-08-05,53,0,53,0,0,0,0,0
广东,阳江,2022-08-04,53,0,53,0,0,0,0,0
广东,阳江,2022-08-03,53,0,53,1,0,0,0,0
广东,阳江,2022-08-02,53,0,52,0,0,0,0,0
广东,阳江,2022-08-01,53,0,52,0,0,0,0,0
广东,阳江,2022-07-31,53,0,52,0,0,0,0,0
广东,阳江,2022-07-30,53,0,52,0,0,0,0,0
广东,阳江,2022-07-29,53,0,52,0,0,0,0,0
广东,阳江,2022-07-28,53,0,52,0,0,0,0,0
广东,阳江,2022-07-27,53,0,52,0,0,0,0,0
广东,阳江,2022-07-26,53,0,52,0,0,0,0,0
广东,阳江,2022-07-25,53,0,52,0,0,0,0,0
广东,阳江,2022-07-24,53,0,52,0,0,0,0,0
广东,阳江,2022-07-23,53,0,52,0,0,0,0,0
广东,阳江,2022-07-22,53,0,52,0,0,0,0,0
广东,阳江,2022-07-21,53,0,52,0,0,0,0,0
广东,阳江,2022-07-20,53,0,52,0,0,0,0,0
广东,阳江,2022-07-19,53,0,52,0,0,0,0,0
广东,阳江,2022-07-18,53,0,52,0,0,0,0,0
广东,阳江,2022-07-17,53,0,52,0,0,0,0,0
广东,阳江,2022-07-16,53,0,52,0,0,0,0,0
广东,阳江,2022-07-15,53,0,52,0,0,0,0,0
广东,阳江,2022-07-14,53,0,52,0,0,0,0,0
广东,阳江,2022-07-13,53,0,52,0,0,0,0,0
广东,阳江,2022-07-12,53,0,52,0,0,0,0,0
广东,阳江,2022-07-11,53,0,52,0,0,0,0,0
广东,阳江,2022-07-10,53,0,52,0,0,0,0,0
广东,阳江,2022-07-09,53,1,52,0,0,0,0,1
广东,阳江,2022-07-08,52,0,52,0,0,0,0,0
广东,阳江,2022-07-07,52,0,52,0,0,0,0,0
广东,阳江,2022-07-06,52,0,52,0,0,0,0,0
广东,阳江,2022-07-05,52,0,52,0,0,0,0,0
广东,阳江,2022-07-04,52,0,52,0,0,0,0,0
广东,阳江,2022-07-03,52,0,52,0,0,0,0,0
广东,阳江,2022-07-02,52,0,52,0,0,0,0,0
广东,阳江,2022-07-01,52,0,52,0,0,0,0,0
广东,阳江,2022-06-30,52,0,52,0,0,0,0,0
广东,阳江,2022-06-29,52,0,52,0,0,0,0,0
广东,阳江,2022-06-28,52,0,52,0,0,0,0,0
广东,阳江,2022-06-27,52,0,52,0,0,0,0,0
广东,阳江,2022-06-26,52,0,52,0,0,0,0,0
广东,阳江,2022-06-25,52,0,52,0,0,0,0,0
广东,阳江,2022-06-24,52,0,52,0,0,0,0,0
广东,阳江,2022-06-23,52,0,52,0,0,0,0,0
广东,阳江,2022-06-22,52,0,52,0,0,0,0,0
广东,阳江,2022-06-21,52,0,52,0,0,0,0,0
广东,阳江,2022-06-20,52,0,52,0,0,0,0,0
广东,阳江,2022-06-19,52,0,52,0,0,0,0,0
广东,阳江,2022-06-18,52,0,52,0,0,0,0,0
广东,阳江,2022-06-17,52,0,52,0,0,0,0,0
广东,阳江,2022-06-16,52,0,52,0,0,0,0,0
广东,阳江,2022-06-15,52,0,52,0,0,0,0,0
广东,阳江,2022-06-14,52,0,52,0,0,0,0,0
广东,阳江,2022-06-13,52,0,52,0,0,0,0,0
广东,阳江,2022-06-12,52,0,52,0,0,0,0,0
广东,阳江,2022-06-11,52,0,52,0,0,0,0,0
广东,阳江,2022-06-10,52,0,52,0,0,0,0,0
广东,阳江,2022-06-09,52,0,52,0,0,0,0,0
广东,阳江,2022-06-08,52,0,52,0,0,0,0,0
广东,阳江,2022-06-07,52,0,52,0,0,0,0,0
广东,阳江,2022-06-06,52,0,52,0,0,0,0,0
广东,阳江,2022-06-05,52,0,52,0,0,0,0,0
广东,阳江,2022-06-04,52,0,52,0,0,0,0,0
广东,阳江,2022-06-03,52,0,52,0,0,0,0,0
广东,阳江,2022-06-02,52,0,52,0,0,0,0,0
广东,阳江,2022-06-01,52,0,52,0,0,0,0,0
广东,阳江,2022-05-31,52,0,52,0,0,0,0,0
广东,阳江,2022-05-30,52,0,52,0,0,0,0,0
广东,阳江,2022-05-29,52,0,52,0,0,0,0,0
广东,阳江,2022-05-28,52,0,52,0,0,0,0,0
广东,阳江,2022-05-27,52,0,52,0,0,0,0,0
广东,阳江,2022-05-26,52,0,52,0,0,0,0,0
广东,阳江,2022-05-25,52,0,52,0,0,0,0,0
广东,阳江,2022-05-24,52,0,52,0,0,0,0,0
广东,阳江,2022-05-23,52,0,52,0,0,0,0,0
广东,阳江,2022-05-22,52,0,52,0,0,0,0,0
广东,阳江,2022-05-21,52,0,52,0,0,0,0,0
广东,阳江,2022-05-20,52,0,52,0,0,0,0,0
广东,阳江,2022-05-19,52,0,52,0,0,0,0,0
广东,阳江,2022-05-18,52,0,52,0,0,0,0,0
广东,阳江,2022-05-17,52,0,52,0,0,0,0,0
广东,阳江,2022-05-16,52,0,52,0,0,0,0,0
广东,阳江,2022-05-15,52,0,52,0,0,0,0,0
广东,阳江,2022-05-14,52,0,52,0,0,0,0,0
广东,阳江,2022-05-13,52,0,52,0,0,0,0,0
广东,阳江,2022-05-12,52,0,52,0,0,0,0,0
广东,阳江,2022-05-11,52,0,52,0,0,0,0,0
广东,阳江,2022-05-10,52,0,52,0,0,0,0,0
广东,阳江,2022-05-09,52,0,52,0,0,0,0,0
广东,阳江,2022-05-08,52,0,52,0,0,0,0,0
广东,阳江,2022-05-07,52,0,52,0,0,0,0,0
广东,阳江,2022-05-06,52,0,52,0,0,0,0,0
广东,阳江,2022-05-05,52,0,52,0,0,0,0,0
广东,阳江,2022-05-04,52,0,52,0,0,0,0,0
广东,阳江,2022-05-03,52,0,52,0,0,0,0,0
广东,阳江,2022-05-02,52,0,52,0,0,0,0,0
广东,阳江,2022-05-01,52,0,52,0,0,0,0,0
广东,阳江,2022-04-30,52,0,52,0,0,0,0,0
广东,阳江,2022-04-29,52,0,52,0,0,0,0,0
广东,阳江,2022-04-28,52,0,52,0,0,0,0,0
广东,阳江,2022-04-27,52,0,52,0,0,0,0,0
广东,阳江,2022-04-26,52,0,52,0,0,0,0,0
广东,阳江,2022-04-25,52,0,52,0,0,0,0,0
广东,阳江,2022-04-24,52,0,52,0,0,0,0,0
广东,阳江,2022-04-23,52,0,52,0,0,0,0,0
广东,阳江,2022-04-22,52,0,52,0,0,0,0,0
广东,阳江,2022-04-21,52,0,52,0,0,0,0,0
广东,阳江,2022-04-20,52,0,52,0,0,0,0,0
广东,阳江,2022-04-19,52,0,52,0,0,0,0,0
广东,阳江,2022-04-18,52,0,52,0,0,0,0,0
广东,阳江,2022-04-17,52,0,52,0,0,0,0,0
广东,阳江,2022-04-16,52,0,52,0,0,0,0,0
广东,阳江,2022-04-15,52,0,52,0,0,0,0,0
广东,阳江,2022-04-14,52,0,52,0,0,0,0,0
广东,阳江,2022-04-13,52,0,52,0,0,0,0,0
广东,阳江,2022-04-12,52,0,52,0,0,0,0,0
广东,阳江,2022-04-11,52,0,52,0,0,0,0,0
广东,阳江,2022-04-10,52,0,52,0,0,0,0,0
广东,阳江,2022-04-09,52,0,52,0,0,0,0,0
广东,阳江,2022-04-08,52,0,52,0,0,0,0,0
广东,阳江,2022-04-07,52,0,52,0,0,0,0,0
广东,阳江,2022-04-06,52,0,52,0,0,0,0,0
广东,阳江,2022-04-05,52,0,52,0,0,0,0,0
广东,阳江,2022-04-04,52,0,52,0,0,0,0,0
广东,阳江,2022-04-03,52,0,52,0,0,0,0,0
广东,阳江,2022-04-02,52,0,52,0,0,0,0,0
广东,阳江,2022-04-01,52,0,52,0,0,0,0,0
广东,阳江,2022-03-31,52,0,52,0,0,0,0,0
广东,阳江,2022-03-30,52,0,52,0,0,0,0,0
广东,阳江,2022-03-29,52,0,52,0,0,0,0,0
广东,阳江,2022-03-28,52,0,52,0,0,0,0,0
广东,阳江,2022-03-27,52,0,52,0,0,0,0,0
广东,阳江,2022-03-26,52,0,52,0,0,0,0,0
广东,阳江,2022-03-25,52,0,52,0,0,0,0,0
广东,阳江,2022-03-24,52,0,52,0,0,0,0,0
广东,阳江,2022-03-23,52,0,52,0,0,0,0,0
广东,阳江,2022-03-22,52,0,52,1,0,0,0,0
广东,阳江,2022-03-21,52,0,51,0,0,0,0,0
广东,阳江,2022-03-20,52,0,51,0,0,0,0,0
广东,阳江,2022-03-19,52,0,51,1,0,0,0,0
广东,阳江,2022-03-18,52,0,50,0,0,0,0,0
广东,阳江,2022-03-17,52,0,50,0,0,0,0,0
广东,阳江,2022-03-16,52,0,50,0,0,0,0,0
广东,阳江,2022-03-15,52,0,50,0,0,0,0,0
广东,阳江,2022-03-14,52,0,50,0,0,0,0,0
广东,阳江,2022-03-13,52,0,50,0,0,0,0,0
广东,阳江,2022-03-12,52,0,50,0,0,0,0,0
广东,阳江,2022-03-11,52,0,50,1,0,0,0,0
广东,阳江,2022-03-10,52,0,49,1,0,0,0,0
广东,阳江,2022-03-09,52,1,48,0,0,0,0,1
广东,阳江,2022-03-08,51,0,48,7,0,0,0,0
广东,阳江,2022-03-07,51,0,41,0,0,0,0,0
广东,阳江,2022-03-06,51,0,41,0,0,0,0,0
广东,阳江,2022-03-05,51,0,41,2,0,0,0,0
广东,阳江,2022-03-04,51,0,39,1,0,0,0,0
广东,阳江,2022-03-03,51,0,38,0,0,0,0,0
广东,阳江,2022-03-02,51,0,38,0,0,0,0,0
广东,阳江,2022-03-01,51,0,38,2,0,0,0,0
广东,阳江,2022-02-28,51,0,36,0,0,0,0,0
