﻿省份,城市,日期,累计确诊,新增确诊,累计治愈,新增治愈,累计死亡,新增死亡,新增无症状,新增本土确诊
广东,湛江,2022-12-17,1477,12,304,0,0,0,0,12
广东,湛江,2022-12-16,1465,14,304,0,0,0,0,14
广东,湛江,2022-12-15,1451,36,304,0,0,0,0,36
广东,湛江,2022-12-14,1415,17,304,0,0,0,0,17
广东,湛江,2022-12-13,1398,15,304,0,0,0,6,15
广东,湛江,2022-12-12,1383,32,304,0,0,0,4,32
广东,湛江,2022-12-11,1351,38,304,0,0,0,8,38
广东,湛江,2022-12-10,1313,25,304,0,0,0,1,25
广东,湛江,2022-12-09,1288,74,304,0,0,0,20,74
广东,湛江,2022-12-08,1214,40,304,0,0,0,23,40
广东,湛江,2022-12-07,1174,18,304,0,0,0,43,18
广东,湛江,2022-12-06,1156,47,304,0,0,0,9,47
广东,湛江,2022-12-05,1109,93,304,0,0,0,54,93
广东,湛江,2022-12-04,1016,79,304,0,0,0,51,79
广东,湛江,2022-12-03,937,68,304,0,0,0,54,68
广东,湛江,2022-12-02,869,58,304,0,0,0,64,58
广东,湛江,2022-12-01,811,31,304,0,0,0,26,31
广东,湛江,2022-11-30,780,38,304,0,0,0,19,38
广东,湛江,2022-11-29,742,48,304,0,0,0,51,48
广东,湛江,2022-11-28,694,25,304,0,0,0,10,25
广东,湛江,2022-11-27,669,34,304,0,0,0,14,34
广东,湛江,2022-11-26,635,37,304,0,0,0,17,37
广东,湛江,2022-11-25,598,45,304,0,0,0,7,45
广东,湛江,2022-11-24,553,19,304,0,0,0,16,19
广东,湛江,2022-11-23,534,34,304,0,0,0,19,34
广东,湛江,2022-11-22,500,46,304,0,0,0,16,46
广东,湛江,2022-11-21,454,35,304,0,0,0,12,35
广东,湛江,2022-11-20,419,36,304,0,0,0,10,36
广东,湛江,2022-11-19,383,11,304,0,0,0,19,11
广东,湛江,2022-11-18,372,15,304,0,0,0,9,15
广东,湛江,2022-11-17,357,19,304,0,0,0,9,19
广东,湛江,2022-11-16,338,3,304,0,0,0,2,3
广东,湛江,2022-11-15,335,1,304,0,0,0,1,1
广东,湛江,2022-11-14,334,2,304,0,0,0,0,2
广东,湛江,2022-11-13,332,0,304,0,0,0,0,0
广东,湛江,2022-11-12,332,1,304,0,0,0,3,1
广东,湛江,2022-11-11,331,0,304,0,0,0,0,0
广东,湛江,2022-11-10,331,0,304,0,0,0,0,0
广东,湛江,2022-11-09,331,0,304,0,0,0,0,0
广东,湛江,2022-11-08,331,3,304,0,0,0,0,3
广东,湛江,2022-11-07,328,0,304,0,0,0,1,0
广东,湛江,2022-11-06,328,2,304,0,0,0,0,2
广东,湛江,2022-11-05,326,1,304,0,0,0,0,1
广东,湛江,2022-11-04,325,1,304,0,0,0,2,1
广东,湛江,2022-11-03,324,0,304,0,0,0,0,0
广东,湛江,2022-11-02,324,0,304,0,0,0,0,0
广东,湛江,2022-11-01,324,0,304,0,0,0,0,0
广东,湛江,2022-10-31,324,0,304,0,0,0,0,0
广东,湛江,2022-10-30,324,0,304,0,0,0,0,0
广东,湛江,2022-10-29,324,0,304,0,0,0,0,0
广东,湛江,2022-10-28,324,0,304,0,0,0,0,0
广东,湛江,2022-10-27,324,0,304,0,0,0,0,0
广东,湛江,2022-10-26,324,0,304,0,0,0,0,0
广东,湛江,2022-10-25,324,0,304,0,0,0,0,0
广东,湛江,2022-10-24,324,0,304,0,0,0,0,0
广东,湛江,2022-10-23,324,0,304,0,0,0,0,0
广东,湛江,2022-10-22,324,0,304,0,0,0,0,0
广东,湛江,2022-10-21,324,0,304,0,0,0,0,0
广东,湛江,2022-10-20,324,0,304,0,0,0,0,0
广东,湛江,2022-10-19,324,0,304,0,0,0,0,0
广东,湛江,2022-10-18,324,0,304,0,0,0,0,0
广东,湛江,2022-10-17,324,0,304,0,0,0,0,0
广东,湛江,2022-10-16,324,0,304,0,0,0,0,0
广东,湛江,2022-10-15,324,0,304,0,0,0,0,0
广东,湛江,2022-10-14,324,0,304,0,0,0,0,0
广东,湛江,2022-10-13,324,0,304,0,0,0,0,0
广东,湛江,2022-10-12,324,0,304,0,0,0,0,0
广东,湛江,2022-10-11,324,0,304,0,0,0,0,0
广东,湛江,2022-10-10,324,0,304,0,0,0,0,0
广东,湛江,2022-10-09,324,1,304,0,0,0,0,1
广东,湛江,2022-10-08,323,0,304,0,0,0,1,0
广东,湛江,2022-10-07,323,3,304,0,0,0,0,3
广东,湛江,2022-10-06,320,2,304,0,0,0,0,2
广东,湛江,2022-10-05,318,0,304,0,0,0,0,0
广东,湛江,2022-10-04,318,0,304,0,0,0,0,0
广东,湛江,2022-10-03,318,0,304,9,0,0,0,0
广东,湛江,2022-10-02,318,0,295,0,0,0,0,0
广东,湛江,2022-10-01,318,0,295,0,0,0,0,0
广东,湛江,2022-09-30,318,0,295,0,0,0,0,0
广东,湛江,2022-09-29,318,0,295,18,0,0,0,0
广东,湛江,2022-09-28,318,0,277,0,0,0,0,0
广东,湛江,2022-09-27,318,0,277,0,0,0,0,0
广东,湛江,2022-09-26,318,3,277,8,0,0,0,3
广东,湛江,2022-09-25,315,0,269,8,0,0,0,0
广东,湛江,2022-09-24,315,0,261,6,0,0,0,0
广东,湛江,2022-09-23,315,0,255,2,0,0,0,0
广东,湛江,2022-09-22,315,0,253,0,0,0,0,0
广东,湛江,2022-09-21,315,0,253,0,0,0,0,0
广东,湛江,2022-09-20,315,0,253,12,0,0,0,0
广东,湛江,2022-09-19,315,0,241,5,0,0,0,0
广东,湛江,2022-09-18,315,0,236,0,0,0,0,0
广东,湛江,2022-09-17,315,0,236,0,0,0,0,0
广东,湛江,2022-09-16,315,0,236,0,0,0,0,0
广东,湛江,2022-09-15,315,0,236,0,0,0,0,0
广东,湛江,2022-09-14,315,0,236,0,0,0,0,0
广东,湛江,2022-09-13,315,0,236,0,0,0,0,0
广东,湛江,2022-09-12,315,0,236,0,0,0,0,0
广东,湛江,2022-09-11,315,0,236,0,0,0,0,0
广东,湛江,2022-09-10,315,0,236,0,0,0,0,0
广东,湛江,2022-09-09,315,0,236,0,0,0,0,0
广东,湛江,2022-09-08,315,0,236,0,0,0,0,0
广东,湛江,2022-09-07,315,0,236,0,0,0,0,0
广东,湛江,2022-09-06,315,0,236,0,0,0,1,0
广东,湛江,2022-09-05,315,0,236,6,0,0,0,0
广东,湛江,2022-09-04,315,0,230,0,0,0,0,0
广东,湛江,2022-09-03,315,0,230,16,0,0,0,0
广东,湛江,2022-09-02,315,0,214,7,0,0,0,0
广东,湛江,2022-09-01,315,0,207,18,0,0,0,0
广东,湛江,2022-08-31,315,0,189,0,0,0,0,0
广东,湛江,2022-08-30,315,0,189,27,0,0,0,0
广东,湛江,2022-08-29,315,0,162,0,0,0,0,0
广东,湛江,2022-08-28,315,0,162,4,0,0,0,0
广东,湛江,2022-08-27,315,0,158,16,0,0,0,0
广东,湛江,2022-08-26,315,0,142,0,0,0,0,0
广东,湛江,2022-08-25,315,0,142,0,0,0,0,0
广东,湛江,2022-08-24,315,0,142,0,0,0,0,0
广东,湛江,2022-08-23,315,0,142,0,0,0,0,0
广东,湛江,2022-08-22,315,0,142,0,0,0,0,0
广东,湛江,2022-08-21,315,0,142,0,0,0,0,0
广东,湛江,2022-08-20,315,1,142,0,0,0,0,1
广东,湛江,2022-08-19,314,6,142,0,0,0,0,6
广东,湛江,2022-08-18,308,2,142,0,0,0,0,2
广东,湛江,2022-08-17,306,6,142,0,0,0,0,6
广东,湛江,2022-08-16,300,5,142,0,0,0,2,5
广东,湛江,2022-08-15,295,6,142,0,0,0,4,6
广东,湛江,2022-08-14,289,9,142,0,0,0,4,9
广东,湛江,2022-08-13,280,13,142,0,0,0,1,13
广东,湛江,2022-08-12,267,11,142,0,0,0,8,11
广东,湛江,2022-08-11,256,18,142,0,0,0,14,18
广东,湛江,2022-08-10,238,21,142,0,0,0,3,21
广东,湛江,2022-08-09,217,20,142,0,0,0,4,20
广东,湛江,2022-08-08,197,17,142,0,0,0,11,17
广东,湛江,2022-08-07,180,26,142,0,0,0,3,26
广东,湛江,2022-08-06,154,3,142,0,0,0,0,3
广东,湛江,2022-08-05,151,8,142,0,0,0,1,8
广东,湛江,2022-08-04,143,1,142,0,0,0,0,1
广东,湛江,2022-08-03,142,0,142,0,0,0,0,0
广东,湛江,2022-08-02,142,0,142,0,0,0,0,0
广东,湛江,2022-08-01,142,0,142,0,0,0,0,0
广东,湛江,2022-07-31,142,0,142,0,0,0,0,0
广东,湛江,2022-07-30,142,0,142,0,0,0,0,0
广东,湛江,2022-07-29,142,0,142,0,0,0,0,0
广东,湛江,2022-07-28,142,0,142,0,0,0,0,0
广东,湛江,2022-07-27,142,0,142,0,0,0,0,0
广东,湛江,2022-07-26,142,0,142,0,0,0,0,0
广东,湛江,2022-07-25,142,0,142,0,0,0,0,0
广东,湛江,2022-07-24,142,0,142,0,0,0,0,0
广东,湛江,2022-07-23,142,0,142,0,0,0,0,0
广东,湛江,2022-07-22,142,0,142,0,0,0,0,0
广东,湛江,2022-07-21,142,0,142,1,0,0,0,0
广东,湛江,2022-07-20,142,0,141,0,0,0,0,0
广东,湛江,2022-07-19,142,0,141,0,0,0,0,0
广东,湛江,2022-07-18,142,0,141,0,0,0,0,0
广东,湛江,2022-07-17,142,0,141,0,0,0,0,0
广东,湛江,2022-07-16,142,0,141,0,0,0,0,0
广东,湛江,2022-07-15,142,0,141,0,0,0,0,0
广东,湛江,2022-07-14,142,0,141,0,0,0,0,0
广东,湛江,2022-07-13,142,0,141,0,0,0,0,0
广东,湛江,2022-07-12,142,0,141,0,0,0,0,0
广东,湛江,2022-07-11,142,0,141,0,0,0,0,0
广东,湛江,2022-07-10,142,0,141,0,0,0,0,0
广东,湛江,2022-07-09,142,1,141,0,0,0,0,1
广东,湛江,2022-07-08,141,0,141,0,0,0,0,0
广东,湛江,2022-07-07,141,0,141,0,0,0,0,0
广东,湛江,2022-07-06,141,0,141,0,0,0,0,0
广东,湛江,2022-07-05,141,0,141,0,0,0,0,0
广东,湛江,2022-07-04,141,0,141,0,0,0,0,0
广东,湛江,2022-07-03,141,0,141,0,0,0,0,0
广东,湛江,2022-07-02,141,0,141,0,0,0,0,0
广东,湛江,2022-07-01,141,0,141,0,0,0,0,0
广东,湛江,2022-06-30,141,0,141,0,0,0,0,0
广东,湛江,2022-06-29,141,0,141,0,0,0,0,0
广东,湛江,2022-06-28,141,0,141,0,0,0,0,0
广东,湛江,2022-06-27,141,0,141,0,0,0,0,0
广东,湛江,2022-06-26,141,0,141,0,0,0,0,0
广东,湛江,2022-06-25,141,0,141,0,0,0,0,0
广东,湛江,2022-06-24,141,0,141,0,0,0,0,0
广东,湛江,2022-06-23,141,0,141,0,0,0,0,0
广东,湛江,2022-06-22,141,0,141,0,0,0,0,0
广东,湛江,2022-06-21,141,0,141,0,0,0,0,0
广东,湛江,2022-06-20,141,0,141,0,0,0,0,0
广东,湛江,2022-06-19,141,0,141,0,0,0,0,0
广东,湛江,2022-06-18,141,0,141,0,0,0,0,0
广东,湛江,2022-06-17,141,0,141,0,0,0,0,0
广东,湛江,2022-06-16,141,0,141,0,0,0,0,0
广东,湛江,2022-06-15,141,0,141,0,0,0,0,0
广东,湛江,2022-06-14,141,0,141,1,0,0,0,0
广东,湛江,2022-06-13,141,0,140,0,0,0,0,0
广东,湛江,2022-06-12,141,0,140,1,0,0,0,0
广东,湛江,2022-06-11,141,0,139,0,0,0,0,0
广东,湛江,2022-06-10,141,0,139,1,0,0,0,0
广东,湛江,2022-06-09,141,0,138,0,0,0,0,0
广东,湛江,2022-06-08,141,0,138,0,0,0,0,0
广东,湛江,2022-06-07,141,0,138,1,0,0,0,0
广东,湛江,2022-06-06,141,0,137,2,0,0,0,0
广东,湛江,2022-06-05,141,0,135,0,0,0,0,0
广东,湛江,2022-06-04,141,0,135,2,0,0,0,0
广东,湛江,2022-06-03,141,0,133,0,0,0,0,0
广东,湛江,2022-06-02,141,0,133,9,0,0,0,0
广东,湛江,2022-06-01,141,0,124,0,0,0,0,0
广东,湛江,2022-05-31,141,0,124,9,0,0,0,0
广东,湛江,2022-05-30,141,0,115,5,0,0,0,0
广东,湛江,2022-05-29,141,0,110,0,0,0,0,0
广东,湛江,2022-05-28,141,0,110,11,0,0,0,0
广东,湛江,2022-05-27,141,0,99,0,0,0,0,0
广东,湛江,2022-05-26,141,0,99,22,0,0,0,0
广东,湛江,2022-05-25,141,0,77,0,0,0,0,0
广东,湛江,2022-05-24,141,0,77,17,0,0,0,0
广东,湛江,2022-05-23,141,0,60,0,0,0,0,0
广东,湛江,2022-05-22,141,0,60,0,0,0,0,0
广东,湛江,2022-05-21,141,1,60,0,0,0,0,1
广东,湛江,2022-05-20,140,0,60,4,0,0,0,0
广东,湛江,2022-05-19,140,3,56,0,0,0,0,3
广东,湛江,2022-05-18,137,0,56,0,0,0,1,0
广东,湛江,2022-05-17,137,0,56,0,0,0,0,0
广东,湛江,2022-05-16,137,0,56,0,0,0,0,0
