﻿省份,城市,日期,累计确诊,新增确诊,累计治愈,新增治愈,累计死亡,新增死亡,新增无症状,新增本土确诊
广东,江门,2022-12-17,724,1,163,0,0,0,0,0
广东,江门,2022-12-16,723,8,163,0,0,0,0,8
广东,江门,2022-12-15,715,8,163,0,0,0,0,8
广东,江门,2022-12-14,707,14,163,0,0,0,0,14
广东,江门,2022-12-13,693,54,163,0,0,0,12,54
广东,江门,2022-12-12,639,25,163,0,0,0,6,25
广东,江门,2022-12-11,614,62,163,0,0,0,38,62
广东,江门,2022-12-10,552,48,163,0,0,0,39,48
广东,江门,2022-12-09,504,39,163,0,0,0,50,39
广东,江门,2022-12-08,465,21,163,0,0,0,12,21
广东,江门,2022-12-07,444,57,163,0,0,0,24,57
广东,江门,2022-12-06,387,30,163,0,0,0,24,29
广东,江门,2022-12-05,357,36,163,0,0,0,34,36
广东,江门,2022-12-04,321,17,163,0,0,0,18,17
广东,江门,2022-12-03,304,13,163,0,0,0,10,13
广东,江门,2022-12-02,291,10,163,0,0,0,14,10
广东,江门,2022-12-01,281,5,163,0,0,0,14,5
广东,江门,2022-11-30,276,10,163,0,0,0,12,8
广东,江门,2022-11-29,266,8,163,0,0,0,10,8
广东,江门,2022-11-28,258,9,163,0,0,0,12,9
广东,江门,2022-11-27,249,12,163,0,0,0,14,12
广东,江门,2022-11-26,237,4,163,0,0,0,18,4
广东,江门,2022-11-25,233,3,163,0,0,0,5,3
广东,江门,2022-11-24,230,2,163,0,0,0,3,2
广东,江门,2022-11-23,228,0,163,0,0,0,1,0
广东,江门,2022-11-22,228,0,163,0,0,0,2,0
广东,江门,2022-11-21,228,4,163,0,0,0,1,3
广东,江门,2022-11-20,224,1,163,0,0,0,2,0
广东,江门,2022-11-19,223,0,163,0,0,0,0,0
广东,江门,2022-11-18,223,4,163,0,0,0,4,4
广东,江门,2022-11-17,219,1,163,0,0,0,2,1
广东,江门,2022-11-16,218,0,163,0,0,0,3,0
广东,江门,2022-11-15,218,1,163,0,0,0,0,1
广东,江门,2022-11-14,217,0,163,0,0,0,0,0
广东,江门,2022-11-13,217,0,163,0,0,0,0,0
广东,江门,2022-11-12,217,0,163,0,0,0,0,0
广东,江门,2022-11-11,217,0,163,0,0,0,0,0
广东,江门,2022-11-10,217,0,163,0,0,0,0,0
广东,江门,2022-11-09,217,0,163,0,0,0,1,0
广东,江门,2022-11-08,217,1,163,0,0,0,0,1
广东,江门,2022-11-07,216,0,163,0,0,0,1,0
广东,江门,2022-11-06,216,0,163,0,0,0,0,0
广东,江门,2022-11-05,216,0,163,0,0,0,0,0
广东,江门,2022-11-04,216,0,163,0,0,0,1,0
广东,江门,2022-11-03,216,1,163,0,0,0,0,1
广东,江门,2022-11-02,215,0,163,0,0,0,0,0
广东,江门,2022-11-01,215,5,163,0,0,0,1,5
广东,江门,2022-10-31,210,3,163,0,0,0,2,3
广东,江门,2022-10-30,207,1,163,0,0,0,2,1
广东,江门,2022-10-29,206,3,163,0,0,0,0,3
广东,江门,2022-10-28,203,5,163,0,0,0,0,5
广东,江门,2022-10-27,198,1,163,0,0,0,1,1
广东,江门,2022-10-26,197,1,163,0,0,0,1,1
广东,江门,2022-10-25,196,10,163,0,0,0,1,10
广东,江门,2022-10-24,186,1,163,0,0,0,1,0
广东,江门,2022-10-23,185,1,163,0,0,0,0,0
广东,江门,2022-10-22,184,0,163,0,0,0,0,0
广东,江门,2022-10-21,184,0,163,0,0,0,0,0
广东,江门,2022-10-20,184,0,163,0,0,0,0,0
广东,江门,2022-10-19,184,0,163,0,0,0,0,0
广东,江门,2022-10-18,184,0,163,0,0,0,0,0
广东,江门,2022-10-17,184,0,163,0,0,0,0,0
广东,江门,2022-10-16,184,0,163,0,0,0,0,0
广东,江门,2022-10-15,184,0,163,0,0,0,0,0
广东,江门,2022-10-14,184,0,163,0,0,0,0,0
广东,江门,2022-10-13,184,0,163,0,0,0,0,0
广东,江门,2022-10-12,184,0,163,0,0,0,0,0
广东,江门,2022-10-11,184,0,163,0,0,0,0,0
广东,江门,2022-10-10,184,0,163,0,0,0,0,0
广东,江门,2022-10-09,184,2,163,0,0,0,0,1
广东,江门,2022-10-08,182,0,163,0,0,0,2,0
广东,江门,2022-10-07,182,3,163,0,0,0,0,3
广东,江门,2022-10-06,179,0,163,0,0,0,1,0
广东,江门,2022-10-05,179,0,163,0,0,0,0,0
广东,江门,2022-10-04,179,2,163,0,0,0,0,2
广东,江门,2022-10-03,177,0,163,10,0,0,0,0
广东,江门,2022-10-02,177,0,153,0,0,0,0,0
广东,江门,2022-10-01,177,1,153,0,0,0,0,1
广东,江门,2022-09-30,176,0,153,3,0,0,0,0
广东,江门,2022-09-29,176,0,150,15,0,0,0,0
广东,江门,2022-09-28,176,3,135,0,0,0,0,3
广东,江门,2022-09-27,173,0,135,0,0,0,0,0
广东,江门,2022-09-26,173,0,135,8,0,0,0,0
广东,江门,2022-09-25,173,0,127,8,0,0,0,0
广东,江门,2022-09-24,173,0,119,6,0,0,0,0
广东,江门,2022-09-23,173,0,113,0,0,0,0,0
广东,江门,2022-09-22,173,0,113,0,0,0,0,0
广东,江门,2022-09-21,173,0,113,0,0,0,0,0
广东,江门,2022-09-20,173,0,113,0,0,0,0,0
广东,江门,2022-09-19,173,0,113,0,0,0,0,0
广东,江门,2022-09-18,173,0,113,0,0,0,0,0
广东,江门,2022-09-17,173,0,113,0,0,0,0,0
广东,江门,2022-09-16,173,1,113,0,0,0,0,1
广东,江门,2022-09-15,172,0,113,0,0,0,0,0
广东,江门,2022-09-14,172,1,113,0,0,0,0,1
广东,江门,2022-09-13,171,0,113,0,0,0,0,0
广东,江门,2022-09-12,171,3,113,0,0,0,0,3
广东,江门,2022-09-11,168,1,113,0,0,0,0,1
广东,江门,2022-09-10,167,0,113,0,0,0,0,0
广东,江门,2022-09-09,167,3,113,0,0,0,0,3
广东,江门,2022-09-08,164,4,113,0,0,0,0,4
广东,江门,2022-09-07,160,3,113,0,0,0,2,2
广东,江门,2022-09-06,157,5,113,0,0,0,2,5
广东,江门,2022-09-05,152,8,113,0,0,0,3,8
广东,江门,2022-09-04,144,2,113,0,0,0,1,2
广东,江门,2022-09-03,142,6,113,0,0,0,2,6
广东,江门,2022-09-02,136,4,113,0,0,0,0,4
广东,江门,2022-09-01,132,3,113,0,0,0,0,0
广东,江门,2022-08-31,129,0,113,0,0,0,0,0
广东,江门,2022-08-30,129,0,113,0,0,0,0,0
广东,江门,2022-08-29,129,1,113,0,0,0,0,0
广东,江门,2022-08-28,128,0,113,0,0,0,0,0
广东,江门,2022-08-27,128,0,113,0,0,0,0,0
广东,江门,2022-08-26,128,0,113,0,0,0,0,0
广东,江门,2022-08-25,128,0,113,0,0,0,0,0
广东,江门,2022-08-24,128,1,113,0,0,0,0,0
广东,江门,2022-08-23,127,1,113,0,0,0,0,0
广东,江门,2022-08-22,126,0,113,0,0,0,0,0
广东,江门,2022-08-21,126,0,113,0,0,0,0,0
广东,江门,2022-08-20,126,0,113,0,0,0,0,0
广东,江门,2022-08-19,126,0,113,0,0,0,0,0
广东,江门,2022-08-18,126,1,113,0,0,0,0,0
广东,江门,2022-08-17,125,0,113,0,0,0,0,0
广东,江门,2022-08-16,125,0,113,0,0,0,0,0
广东,江门,2022-08-15,125,0,113,0,0,0,0,0
广东,江门,2022-08-14,125,0,113,0,0,0,0,0
广东,江门,2022-08-13,125,1,113,0,0,0,0,0
广东,江门,2022-08-12,124,3,113,0,0,0,0,0
广东,江门,2022-08-11,121,0,113,0,0,0,0,0
广东,江门,2022-08-10,121,0,113,0,0,0,0,0
广东,江门,2022-08-09,121,0,113,0,0,0,0,0
广东,江门,2022-08-08,121,0,113,0,0,0,0,0
广东,江门,2022-08-07,121,0,113,0,0,0,0,0
广东,江门,2022-08-06,121,0,113,0,0,0,0,0
广东,江门,2022-08-05,121,0,113,0,0,0,0,0
广东,江门,2022-08-04,121,0,113,0,0,0,0,0
广东,江门,2022-08-03,121,0,113,2,0,0,0,0
广东,江门,2022-08-02,121,0,111,0,0,0,0,0
广东,江门,2022-08-01,121,2,111,0,0,0,0,0
广东,江门,2022-07-31,119,0,111,0,0,0,0,0
广东,江门,2022-07-30,119,0,111,0,0,0,0,0
广东,江门,2022-07-29,119,1,111,0,0,0,0,0
广东,江门,2022-07-28,118,0,111,0,0,0,0,0
广东,江门,2022-07-27,118,0,111,0,0,0,0,0
广东,江门,2022-07-26,118,2,111,1,0,0,0,0
广东,江门,2022-07-25,116,0,110,0,0,0,0,0
广东,江门,2022-07-24,116,0,110,1,0,0,0,0
广东,江门,2022-07-23,116,0,109,0,0,0,0,0
广东,江门,2022-07-22,116,0,109,1,0,0,0,0
广东,江门,2022-07-21,116,2,108,1,0,0,0,0
广东,江门,2022-07-20,114,0,107,1,0,0,0,0
广东,江门,2022-07-19,114,0,106,0,0,0,0,0
广东,江门,2022-07-18,114,0,106,0,0,0,0,0
广东,江门,2022-07-17,114,0,106,0,0,0,0,0
广东,江门,2022-07-16,114,0,106,-1,0,0,0,0
广东,江门,2022-07-15,114,1,107,0,0,0,0,0
广东,江门,2022-07-14,113,0,107,0,0,0,0,0
广东,江门,2022-07-13,113,0,107,0,0,0,0,0
广东,江门,2022-07-12,113,0,107,0,0,0,0,0
广东,江门,2022-07-11,113,1,107,0,0,0,0,0
广东,江门,2022-07-10,112,2,107,0,0,0,0,2
广东,江门,2022-07-09,110,1,107,0,0,0,3,1
广东,江门,2022-07-08,109,0,107,0,0,0,0,0
广东,江门,2022-07-07,109,2,107,1,0,0,0,1
广东,江门,2022-07-06,107,0,106,0,0,0,0,0
广东,江门,2022-07-05,107,1,106,0,0,0,0,0
广东,江门,2022-07-04,106,0,106,0,0,0,0,0
广东,江门,2022-07-03,106,0,106,0,0,0,0,0
广东,江门,2022-07-02,106,0,106,0,0,0,0,0
广东,江门,2022-07-01,106,0,106,0,0,0,0,0
广东,江门,2022-06-30,106,0,106,0,0,0,0,0
广东,江门,2022-06-29,106,0,106,0,0,0,0,0
广东,江门,2022-06-28,106,0,106,0,0,0,0,0
广东,江门,2022-06-27,106,0,106,0,0,0,0,0
广东,江门,2022-06-26,106,0,106,0,0,0,0,0
广东,江门,2022-06-25,106,0,106,0,0,0,0,0
广东,江门,2022-06-24,106,0,106,0,0,0,0,0
广东,江门,2022-06-23,106,0,106,0,0,0,0,0
广东,江门,2022-06-22,106,0,106,0,0,0,0,0
广东,江门,2022-06-21,106,0,106,0,0,0,0,0
广东,江门,2022-06-20,106,0,106,0,0,0,0,0
广东,江门,2022-06-19,106,0,106,0,0,0,0,0
