﻿省份,城市,日期,累计确诊,新增确诊,累计治愈,新增治愈,累计死亡,新增死亡,新增无症状,新增本土确诊
广东,肇庆,2022-12-17,621,23,54,0,1,0,0,23
广东,肇庆,2022-12-16,598,9,54,0,1,0,0,9
广东,肇庆,2022-12-15,589,8,54,0,1,0,0,8
广东,肇庆,2022-12-14,581,7,54,0,1,0,0,7
广东,肇庆,2022-12-13,574,3,54,0,1,0,21,3
广东,肇庆,2022-12-12,571,4,54,0,1,0,29,4
广东,肇庆,2022-12-11,567,3,54,0,1,0,45,3
广东,肇庆,2022-12-10,564,2,54,0,1,0,39,2
广东,肇庆,2022-12-09,562,4,54,0,1,0,54,4
广东,肇庆,2022-12-08,558,0,54,0,1,0,60,0
广东,肇庆,2022-12-07,558,0,54,0,1,0,66,0
广东,肇庆,2022-12-06,558,8,54,0,1,0,51,8
广东,肇庆,2022-12-05,550,25,54,0,1,0,39,25
广东,肇庆,2022-12-04,525,40,54,0,1,0,34,40
广东,肇庆,2022-12-03,485,26,54,0,1,0,17,26
广东,肇庆,2022-12-02,459,28,54,0,1,0,15,28
广东,肇庆,2022-12-01,431,23,54,0,1,0,12,23
广东,肇庆,2022-11-30,408,18,54,0,1,0,13,18
广东,肇庆,2022-11-29,390,22,54,0,1,0,16,22
广东,肇庆,2022-11-28,368,15,54,0,1,0,13,15
广东,肇庆,2022-11-27,353,7,54,0,1,0,8,7
广东,肇庆,2022-11-26,346,23,54,0,1,0,2,23
广东,肇庆,2022-11-25,323,13,54,0,1,0,8,13
广东,肇庆,2022-11-24,310,12,54,0,1,0,14,12
广东,肇庆,2022-11-23,298,13,54,0,1,0,1,13
广东,肇庆,2022-11-22,285,20,54,0,1,0,2,20
广东,肇庆,2022-11-21,265,24,54,0,1,0,11,24
广东,肇庆,2022-11-20,241,31,54,0,1,0,18,31
广东,肇庆,2022-11-19,210,44,54,0,1,0,25,44
广东,肇庆,2022-11-18,166,26,54,0,1,0,3,26
广东,肇庆,2022-11-17,140,23,54,0,1,0,13,23
广东,肇庆,2022-11-16,117,15,54,0,1,0,17,15
广东,肇庆,2022-11-15,102,12,54,0,1,0,7,12
广东,肇庆,2022-11-14,90,3,54,0,1,0,0,2
广东,肇庆,2022-11-13,87,0,54,0,1,0,0,0
广东,肇庆,2022-11-12,87,0,54,0,1,0,0,0
广东,肇庆,2022-11-11,87,1,54,0,1,0,0,1
广东,肇庆,2022-11-10,86,0,54,0,1,0,0,0
广东,肇庆,2022-11-09,86,1,54,0,1,0,0,1
广东,肇庆,2022-11-08,85,1,54,0,1,0,1,1
广东,肇庆,2022-11-07,84,0,54,0,1,0,0,0
广东,肇庆,2022-11-06,84,0,54,0,1,0,0,0
广东,肇庆,2022-11-05,84,0,54,0,1,0,0,0
广东,肇庆,2022-11-04,84,0,54,0,1,0,0,0
广东,肇庆,2022-11-03,84,0,54,0,1,0,0,0
广东,肇庆,2022-11-02,84,0,54,0,1,0,0,0
广东,肇庆,2022-11-01,84,0,54,0,1,0,0,0
广东,肇庆,2022-10-31,84,0,54,0,1,0,0,0
广东,肇庆,2022-10-30,84,1,54,0,1,0,0,0
广东,肇庆,2022-10-29,83,0,54,0,1,0,0,0
广东,肇庆,2022-10-28,83,0,54,0,1,0,0,0
广东,肇庆,2022-10-27,83,0,54,0,1,0,0,0
广东,肇庆,2022-10-26,83,0,54,0,1,0,0,0
广东,肇庆,2022-10-25,83,0,54,0,1,0,0,0
广东,肇庆,2022-10-24,83,0,54,0,1,0,0,0
广东,肇庆,2022-10-23,83,1,54,0,1,0,0,1
广东,肇庆,2022-10-22,82,2,54,0,1,0,1,2
广东,肇庆,2022-10-21,80,0,54,0,1,0,3,0
广东,肇庆,2022-10-20,80,1,54,0,1,0,0,1
广东,肇庆,2022-10-19,79,0,54,0,1,0,0,0
广东,肇庆,2022-10-18,79,0,54,0,1,0,0,0
广东,肇庆,2022-10-17,79,1,54,0,1,0,0,0
广东,肇庆,2022-10-16,78,1,54,0,1,0,0,0
广东,肇庆,2022-10-15,77,0,54,0,1,0,0,0
广东,肇庆,2022-10-14,77,0,54,0,1,0,0,0
广东,肇庆,2022-10-13,77,0,54,0,1,0,0,0
广东,肇庆,2022-10-12,77,2,54,0,1,0,0,2
广东,肇庆,2022-10-11,75,0,54,0,1,0,0,0
广东,肇庆,2022-10-10,75,0,54,0,1,0,2,0
广东,肇庆,2022-10-09,75,0,54,0,1,0,0,0
广东,肇庆,2022-10-08,75,0,54,0,1,0,0,0
广东,肇庆,2022-10-07,75,0,54,0,1,0,0,0
广东,肇庆,2022-10-06,75,1,54,0,1,0,0,0
广东,肇庆,2022-10-05,74,0,54,0,1,0,0,0
广东,肇庆,2022-10-04,74,1,54,0,1,0,0,0
广东,肇庆,2022-10-03,73,4,54,0,1,0,1,4
广东,肇庆,2022-10-02,69,0,54,0,1,0,0,0
广东,肇庆,2022-10-01,69,3,54,0,1,0,0,0
广东,肇庆,2022-09-30,66,0,54,0,1,0,0,0
广东,肇庆,2022-09-29,66,0,54,0,1,0,0,0
广东,肇庆,2022-09-28,66,0,54,0,1,0,0,0
广东,肇庆,2022-09-27,66,0,54,0,1,0,0,0
广东,肇庆,2022-09-26,66,0,54,0,1,0,0,0
广东,肇庆,2022-09-25,66,0,54,0,1,0,0,0
广东,肇庆,2022-09-24,66,0,54,0,1,0,0,0
广东,肇庆,2022-09-23,66,0,54,0,1,0,0,0
广东,肇庆,2022-09-22,66,1,54,0,1,0,0,0
广东,肇庆,2022-09-21,65,0,54,0,1,0,0,0
广东,肇庆,2022-09-20,65,0,54,0,1,0,0,0
广东,肇庆,2022-09-19,65,0,54,0,1,0,0,0
广东,肇庆,2022-09-18,65,0,54,0,1,0,0,0
广东,肇庆,2022-09-17,65,0,54,0,1,0,0,0
广东,肇庆,2022-09-16,65,0,54,0,1,0,0,0
广东,肇庆,2022-09-15,65,0,54,0,1,0,0,0
广东,肇庆,2022-09-14,65,0,54,0,1,0,0,0
广东,肇庆,2022-09-13,65,0,54,0,1,0,0,0
广东,肇庆,2022-09-12,65,0,54,0,1,0,0,0
广东,肇庆,2022-09-11,65,0,54,0,1,0,0,0
广东,肇庆,2022-09-10,65,4,54,0,1,0,0,0
广东,肇庆,2022-09-09,61,0,54,0,1,0,0,0
广东,肇庆,2022-09-08,61,0,54,0,1,0,0,0
广东,肇庆,2022-09-07,61,2,54,0,1,0,0,0
广东,肇庆,2022-09-06,59,0,54,0,1,0,0,0
广东,肇庆,2022-09-05,59,0,54,0,1,0,0,0
广东,肇庆,2022-09-04,59,0,54,0,1,0,0,0
广东,肇庆,2022-09-03,59,0,54,0,1,0,0,0
广东,肇庆,2022-09-02,59,1,54,0,1,0,0,0
广东,肇庆,2022-09-01,58,1,54,0,1,0,0,1
广东,肇庆,2022-08-31,57,0,54,0,1,0,1,0
广东,肇庆,2022-08-30,57,2,54,0,1,0,0,0
广东,肇庆,2022-08-29,55,0,54,0,1,0,0,0
广东,肇庆,2022-08-28,55,0,54,0,1,0,0,0
广东,肇庆,2022-08-27,55,0,54,0,1,0,0,0
广东,肇庆,2022-08-26,55,0,54,0,1,0,0,0
广东,肇庆,2022-08-25,55,0,54,0,1,0,0,0
广东,肇庆,2022-08-24,55,0,54,0,1,0,0,0
广东,肇庆,2022-08-23,55,0,54,0,1,0,0,0
广东,肇庆,2022-08-22,55,0,54,0,1,0,0,0
广东,肇庆,2022-08-21,55,0,54,0,1,0,0,0
广东,肇庆,2022-08-20,55,0,54,0,1,0,0,0
广东,肇庆,2022-08-19,55,0,54,0,1,0,0,0
广东,肇庆,2022-08-18,55,0,54,0,1,0,0,0
广东,肇庆,2022-08-17,55,0,54,0,1,0,0,0
广东,肇庆,2022-08-16,55,0,54,0,1,0,0,0
广东,肇庆,2022-08-15,55,0,54,0,1,0,0,0
广东,肇庆,2022-08-14,55,0,54,0,1,0,0,0
广东,肇庆,2022-08-13,55,0,54,0,1,0,0,0
广东,肇庆,2022-08-12,55,0,54,0,1,0,0,0
广东,肇庆,2022-08-11,55,0,54,0,1,0,0,0
广东,肇庆,2022-08-10,55,0,54,0,1,0,0,0
广东,肇庆,2022-08-09,55,0,54,0,1,0,0,0
广东,肇庆,2022-08-08,55,0,54,0,1,0,0,0
广东,肇庆,2022-08-07,55,0,54,0,1,0,0,0
广东,肇庆,2022-08-06,55,0,54,0,1,0,0,0
广东,肇庆,2022-08-05,55,0,54,0,1,0,0,0
广东,肇庆,2022-08-04,55,0,54,0,1,0,0,0
广东,肇庆,2022-08-03,55,0,54,0,1,0,0,0
广东,肇庆,2022-08-02,55,0,54,0,1,0,0,0
广东,肇庆,2022-08-01,55,0,54,0,1,0,0,0
广东,肇庆,2022-07-31,55,0,54,0,1,0,0,0
广东,肇庆,2022-07-30,55,0,54,0,1,0,0,0
广东,肇庆,2022-07-29,55,0,54,0,1,0,0,0
广东,肇庆,2022-07-28,55,0,54,0,1,0,0,0
广东,肇庆,2022-07-27,55,0,54,0,1,0,0,0
广东,肇庆,2022-07-26,55,0,54,0,1,0,0,0
广东,肇庆,2022-07-25,55,0,54,0,1,0,0,0
广东,肇庆,2022-07-24,55,0,54,0,1,0,0,0
广东,肇庆,2022-07-23,55,0,54,0,1,0,0,0
广东,肇庆,2022-07-22,55,0,54,0,1,0,0,0
广东,肇庆,2022-07-21,55,0,54,0,1,0,0,0
广东,肇庆,2022-07-20,55,0,54,0,1,0,0,0
广东,肇庆,2022-07-19,55,0,54,0,1,0,0,0
广东,肇庆,2022-07-18,55,0,54,0,1,0,0,0
广东,肇庆,2022-07-17,55,0,54,0,1,0,0,0
广东,肇庆,2022-07-16,55,0,54,0,1,0,0,0
广东,肇庆,2022-07-15,55,0,54,0,1,0,0,0
广东,肇庆,2022-07-14,55,0,54,0,1,0,0,0
广东,肇庆,2022-07-13,55,0,54,0,1,0,0,0
广东,肇庆,2022-07-12,55,0,54,0,1,0,0,0
广东,肇庆,2022-07-11,55,0,54,0,1,0,0,0
广东,肇庆,2022-07-10,55,0,54,0,1,0,0,0
广东,肇庆,2022-07-09,55,0,54,0,1,0,0,0
广东,肇庆,2022-07-08,55,0,54,0,1,0,0,0
广东,肇庆,2022-07-07,55,0,54,0,1,0,0,0
广东,肇庆,2022-07-06,55,0,54,0,1,0,0,0
广东,肇庆,2022-07-05,55,0,54,0,1,0,0,0
广东,肇庆,2022-07-04,55,0,54,0,1,0,0,0
广东,肇庆,2022-07-03,55,0,54,0,1,0,0,0
广东,肇庆,2022-07-02,55,0,54,0,1,0,0,0
广东,肇庆,2022-07-01,55,0,54,0,1,0,0,0
广东,肇庆,2022-06-30,55,0,54,0,1,0,0,0
广东,肇庆,2022-06-29,55,0,54,0,1,0,0,0
广东,肇庆,2022-06-28,55,0,54,0,1,0,0,0
广东,肇庆,2022-06-27,55,0,54,0,1,0,0,0
广东,肇庆,2022-06-26,55,0,54,0,1,0,0,0
广东,肇庆,2022-06-25,55,0,54,0,1,0,0,0
广东,肇庆,2022-06-24,55,0,54,0,1,0,0,0
广东,肇庆,2022-06-23,55,0,54,0,1,0,0,0
广东,肇庆,2022-06-22,55,0,54,0,1,0,0,0
广东,肇庆,2022-06-21,55,0,54,0,1,0,0,0
广东,肇庆,2022-06-20,55,0,54,0,1,0,0,0
广东,肇庆,2022-06-19,55,0,54,0,1,0,0,0
广东,肇庆,2022-06-18,55,0,54,0,1,0,0,0
广东,肇庆,2022-06-17,55,0,54,0,1,0,0,0
广东,肇庆,2022-06-16,55,0,54,0,1,0,0,0
广东,肇庆,2022-06-15,55,0,54,0,1,0,0,0
广东,肇庆,2022-06-14,55,0,54,0,1,0,0,0
广东,肇庆,2022-06-13,55,0,54,0,1,0,0,0
广东,肇庆,2022-06-12,55,0,54,0,1,0,0,0
广东,肇庆,2022-06-11,55,0,54,0,1,0,0,0
广东,肇庆,2022-06-10,55,0,54,0,1,0,0,0
广东,肇庆,2022-06-09,55,0,54,0,1,0,0,0
广东,肇庆,2022-06-08,55,0,54,0,1,0,0,0
广东,肇庆,2022-06-07,55,0,54,0,1,0,0,0
广东,肇庆,2022-06-06,55,0,54,0,1,0,0,0
广东,肇庆,2022-06-05,55,0,54,0,1,0,0,0
广东,肇庆,2022-06-04,55,0,54,0,1,0,0,0
广东,肇庆,2022-06-03,55,0,54,0,1,0,0,0
广东,肇庆,2022-06-02,55,0,54,0,1,0,0,0
广东,肇庆,2022-06-01,55,0,54,0,1,0,0,0
广东,肇庆,2022-05-31,55,0,54,0,1,0,0,0
广东,肇庆,2022-05-30,55,0,54,0,1,0,0,0
广东,肇庆,2022-05-29,55,0,54,0,1,0,0,0
广东,肇庆,2022-05-28,55,0,54,0,1,0,0,0
广东,肇庆,2022-05-27,55,0,54,0,1,0,0,0
广东,肇庆,2022-05-26,55,0,54,0,1,0,0,0
广东,肇庆,2022-05-25,55,0,54,0,1,0,0,0
广东,肇庆,2022-05-24,55,0,54,0,1,0,0,0
广东,肇庆,2022-05-23,55,0,54,0,1,0,0,0
广东,肇庆,2022-05-22,55,0,54,0,1,0,1,0
广东,肇庆,2022-05-21,55,0,54,0,1,0,0,0
广东,肇庆,2022-05-20,55,0,54,0,1,0,0,0
广东,肇庆,2022-05-19,55,0,54,0,1,0,0,0
广东,肇庆,2022-05-18,55,0,54,0,1,0,0,0
广东,肇庆,2022-05-17,55,0,54,0,1,0,0,0
广东,肇庆,2022-05-16,55,0,54,0,1,0,0,0
广东,肇庆,2022-05-15,55,0,54,0,1,0,0,0
广东,肇庆,2022-05-14,55,0,54,0,1,0,0,0
广东,肇庆,2022-05-13,55,0,54,0,1,0,0,0
广东,肇庆,2022-05-12,55,0,54,0,1,0,0,0
广东,肇庆,2022-05-11,55,0,54,0,1,0,0,0
广东,肇庆,2022-05-10,55,0,54,0,1,0,0,0
广东,肇庆,2022-05-09,55,0,54,0,1,0,0,0
广东,肇庆,2022-05-08,55,0,54,0,1,0,0,0
广东,肇庆,2022-05-07,55,0,54,0,1,0,0,0
广东,肇庆,2022-05-06,55,0,54,0,1,0,0,0
广东,肇庆,2022-05-05,55,0,54,0,1,0,0,0
广东,肇庆,2022-05-04,55,0,54,0,1,0,0,0
广东,肇庆,2022-05-03,55,0,54,0,1,0,0,0
广东,肇庆,2022-05-02,55,0,54,0,1,0,0,0
广东,肇庆,2022-05-01,55,0,54,1,1,0,0,0
广东,肇庆,2022-04-30,55,0,53,0,1,0,0,0
广东,肇庆,2022-04-29,55,0,53,0,1,0,0,0
广东,肇庆,2022-04-28,55,0,53,0,1,0,0,0
广东,肇庆,2022-04-27,55,0,53,0,1,0,0,0
广东,肇庆,2022-04-26,55,0,53,0,1,0,0,0
广东,肇庆,2022-04-25,55,0,53,0,1,0,0,0
广东,肇庆,2022-04-24,55,0,53,3,1,0,0,0
广东,肇庆,2022-04-23,55,0,50,0,1,0,0,0
广东,肇庆,2022-04-22,55,0,50,0,1,0,0,0
广东,肇庆,2022-04-21,55,0,50,1,1,0,0,0
广东,肇庆,2022-04-20,55,0,49,0,1,0,0,0
广东,肇庆,2022-04-19,55,0,49,0,1,0,0,0
广东,肇庆,2022-04-18,55,0,49,0,1,0,0,0
广东,肇庆,2022-04-17,55,0,49,0,1,0,0,0
广东,肇庆,2022-04-16,55,0,49,0,1,0,0,0
广东,肇庆,2022-04-15,55,0,49,0,1,0,0,0
广东,肇庆,2022-04-14,55,0,49,0,1,0,0,0
广东,肇庆,2022-04-13,55,0,49,0,1,0,0,0
广东,肇庆,2022-04-12,55,0,49,1,1,0,0,0
广东,肇庆,2022-04-11,55,0,48,2,1,0,0,0
广东,肇庆,2022-04-10,55,0,46,0,1,0,0,0
广东,肇庆,2022-04-09,55,0,46,0,1,0,0,0
广东,肇庆,2022-04-08,55,0,46,0,1,0,0,0
广东,肇庆,2022-04-07,55,0,46,0,1,0,0,0
广东,肇庆,2022-04-06,55,0,46,0,1,0,0,0
广东,肇庆,2022-04-05,55,1,46,0,1,0,0,1
广东,肇庆,2022-04-04,54,0,46,0,1,0,0,0
广东,肇庆,2022-04-03,54,0,46,0,1,0,1,0
广东,肇庆,2022-04-02,54,1,46,0,1,0,0,1
广东,肇庆,2022-04-01,53,0,46,0,1,0,12,0
广东,肇庆,2022-03-31,53,1,46,0,1,0,1,1
广东,肇庆,2022-03-30,52,0,46,0,1,0,0,0
广东,肇庆,2022-03-29,52,0,46,0,1,0,4,0
广东,肇庆,2022-03-28,52,3,46,0,1,0,0,3
广东,肇庆,2022-03-27,49,2,46,0,1,0,5,2
广东,肇庆,2022-03-26,47,0,46,0,1,0,0,0
广东,肇庆,2022-03-25,47,0,46,0,1,0,0,0
广东,肇庆,2022-03-24,47,0,46,0,1,0,0,0
广东,肇庆,2022-03-23,47,0,46,0,1,0,0,0
广东,肇庆,2022-03-22,47,0,46,0,1,0,0,0
广东,肇庆,2022-03-21,47,0,46,0,1,0,0,0
广东,肇庆,2022-03-20,47,0,46,0,1,0,0,0
广东,肇庆,2022-03-19,47,0,46,0,1,0,0,0
广东,肇庆,2022-03-18,47,0,46,0,1,0,0,0
广东,肇庆,2022-03-17,47,0,46,0,1,0,0,0
广东,肇庆,2022-03-16,47,0,46,0,1,0,0,0
广东,肇庆,2022-03-15,47,0,46,0,1,0,0,0
广东,肇庆,2022-03-14,47,0,46,0,1,0,0,0
广东,肇庆,2022-03-13,47,0,46,0,1,0,0,0
广东,肇庆,2022-03-12,47,0,46,0,1,0,0,0
广东,肇庆,2022-03-11,47,0,46,0,1,0,0,0
广东,肇庆,2022-03-10,47,0,46,0,1,0,0,0
广东,肇庆,2022-03-09,47,0,46,0,1,0,0,0
广东,肇庆,2022-03-08,47,0,46,0,1,0,0,0
广东,肇庆,2022-03-07,47,0,46,0,1,0,0,0
广东,肇庆,2022-03-06,47,0,46,0,1,0,0,0
广东,肇庆,2022-03-05,47,0,46,0,1,0,0,0
广东,肇庆,2022-03-04,47,0,46,0,1,0,0,0
广东,肇庆,2022-03-03,47,0,46,0,1,0,0,0
广东,肇庆,2022-03-02,47,0,46,0,1,0,0,0
广东,肇庆,2022-03-01,47,0,46,0,1,0,0,0
广东,肇庆,2022-02-28,47,0,46,0,1,0,0,0
广东,肇庆,2022-02-27,47,0,46,0,1,0,0,0
广东,肇庆,2022-02-26,47,0,46,0,1,0,0,0
广东,肇庆,2022-02-25,47,0,46,0,1,0,0,0
广东,肇庆,2022-02-24,47,0,46,0,1,0,0,0
广东,肇庆,2022-02-23,47,0,46,0,1,0,0,0
广东,肇庆,2022-02-22,47,0,46,0,1,0,0,0
广东,肇庆,2022-02-21,47,0,46,0,1,0,0,0
广东,肇庆,2022-02-20,47,0,46,0,1,0,0,0
广东,肇庆,2022-02-19,47,0,46,0,1,0,0,0
广东,肇庆,2022-02-18,47,0,46,0,1,0,0,0
广东,肇庆,2022-02-17,47,0,46,0,1,0,0,0
广东,肇庆,2022-02-16,47,0,46,0,1,0,0,0
广东,肇庆,2022-02-15,47,0,46,0,1,0,0,0
广东,肇庆,2022-02-14,47,0,46,0,1,0,0,0
广东,肇庆,2022-02-13,47,0,46,0,1,0,0,0
广东,肇庆,2022-02-12,47,0,46,0,1,0,0,0
广东,肇庆,2022-02-11,47,0,46,0,1,0,0,0
广东,肇庆,2022-02-10,47,0,46,0,1,0,0,0
广东,肇庆,2022-02-09,47,0,46,0,1,0,0,0
广东,肇庆,2022-02-08,47,0,46,0,1,0,0,0
广东,肇庆,2022-02-07,47,0,46,0,1,0,0,0
广东,肇庆,2022-02-06,47,0,46,0,1,0,0,0
广东,肇庆,2022-02-05,47,0,46,0,1,0,0,0
广东,肇庆,2022-02-04,47,0,46,0,1,0,0,0
广东,肇庆,2022-02-03,47,0,46,0,1,0,0,0
广东,肇庆,2022-02-02,47,0,46,0,1,0,0,0
广东,肇庆,2022-02-01,47,0,46,0,1,0,0,0
广东,肇庆,2022-01-31,47,0,46,0,1,0,0,0
广东,肇庆,2022-01-30,47,0,46,0,1,0,0,0
广东,肇庆,2022-01-29,47,0,46,0,1,0,0,0
广东,肇庆,2022-01-28,47,0,46,0,1,0,0,0
广东,肇庆,2022-01-27,47,0,46,0,1,0,0,0
广东,肇庆,2022-01-26,47,0,46,0,1,0,0,0
广东,肇庆,2022-01-25,47,0,46,0,1,0,0,0
广东,肇庆,2022-01-24,47,0,46,0,1,0,0,0
广东,肇庆,2022-01-23,47,0,46,0,1,0,0,0
广东,肇庆,2022-01-22,47,0,46,0,1,0,0,0
广东,肇庆,2022-01-21,47,0,46,0,1,0,0,0
广东,肇庆,2022-01-20,47,0,46,0,1,0,0,0
广东,肇庆,2022-01-19,47,0,46,0,1,0,0,0
广东,肇庆,2022-01-18,47,0,46,0,1,0,0,0
广东,肇庆,2022-01-17,47,0,46,0,1,0,0,0
广东,肇庆,2022-01-16,47,0,46,0,1,0,0,0
广东,肇庆,2022-01-15,47,0,46,0,1,0,0,0
广东,肇庆,2022-01-14,47,0,46,0,1,0,0,0
广东,肇庆,2022-01-13,47,0,46,0,1,0,0,0
广东,肇庆,2022-01-12,47,0,46,0,1,0,0,0
广东,肇庆,2022-01-11,47,0,46,0,1,0,0,0
广东,肇庆,2022-01-10,47,0,46,0,1,0,0,0
广东,肇庆,2022-01-09,47,0,46,0,1,0,0,0
广东,肇庆,2022-01-08,47,0,46,0,1,0,0,0
广东,肇庆,2022-01-07,47,0,46,0,1,0,0,0
广东,肇庆,2022-01-06,47,0,46,0,1,0,0,0
广东,肇庆,2022-01-05,47,0,46,0,1,0,0,0
广东,肇庆,2022-01-04,47,0,46,0,1,0,0,0
广东,肇庆,2022-01-03,47,0,46,0,1,0,0,0
广东,肇庆,2022-01-02,47,0,46,0,1,0,0,0
广东,肇庆,2022-01-01,47,0,46,0,1,0,0,0
广东,肇庆,2021-12-31,47,0,46,0,1,0,0,0
广东,肇庆,2021-12-30,47,0,46,0,1,0,0,0
广东,肇庆,2021-12-29,47,0,46,0,1,0,0,0
广东,肇庆,2021-12-28,47,0,46,0,1,0,0,0
广东,肇庆,2021-12-27,47,0,46,0,1,0,0,0
广东,肇庆,2021-12-26,47,0,46,0,1,0,0,0
广东,肇庆,2021-12-25,47,0,46,0,1,0,0,0
广东,肇庆,2021-12-24,47,0,46,0,1,0,0,0
广东,肇庆,2021-12-23,47,0,46,0,1,0,0,0
广东,肇庆,2021-12-22,47,0,46,0,1,0,0,0
广东,肇庆,2021-12-21,47,0,46,0,1,0,0,0
广东,肇庆,2021-12-20,47,0,46,0,1,0,0,0
广东,肇庆,2021-12-19,47,0,46,0,1,0,0,0
广东,肇庆,2021-12-18,47,0,46,0,1,0,0,0
广东,肇庆,2021-12-17,47,0,46,0,1,0,0,0
广东,肇庆,2021-12-16,47,0,46,0,1,0,0,0
广东,肇庆,2021-12-15,47,0,46,0,1,0,0,0
广东,肇庆,2021-12-14,47,0,46,0,1,0,0,0
广东,肇庆,2021-12-13,47,0,46,0,1,0,0,0
广东,肇庆,2021-12-12,47,0,46,0,1,0,0,0
广东,肇庆,2021-12-11,47,0,46,0,1,0,0,0
广东,肇庆,2021-12-10,47,0,46,0,1,0,0,0
广东,肇庆,2021-12-09,47,0,46,0,1,0,0,0
广东,肇庆,2021-12-08,47,0,46,0,1,0,0,0
广东,肇庆,2021-12-07,47,0,46,0,1,0,0,0
广东,肇庆,2021-12-06,47,0,46,0,1,0,0,0
广东,肇庆,2021-12-05,47,0,46,0,1,0,0,0
广东,肇庆,2021-12-04,47,0,46,0,1,0,0,0
广东,肇庆,2021-12-03,47,0,46,0,1,0,0,0
广东,肇庆,2021-12-02,47,0,46,0,1,0,0,0
广东,肇庆,2021-12-01,47,0,46,0,1,0,0,0
广东,肇庆,2021-11-30,47,0,46,0,1,0,0,0
广东,肇庆,2021-11-29,47,0,46,0,1,0,0,0
广东,肇庆,2021-11-28,47,0,46,0,1,0,0,0
广东,肇庆,2021-11-27,47,0,46,0,1,0,0,0
广东,肇庆,2021-11-26,47,0,46,0,1,0,0,0
广东,肇庆,2021-11-25,47,0,46,0,1,0,0,0
广东,肇庆,2021-11-24,47,0,46,0,1,0,0,0
广东,肇庆,2021-11-23,47,0,46,0,1,0,0,0
广东,肇庆,2021-11-22,47,0,46,0,1,0,0,0
广东,肇庆,2021-11-21,47,0,46,0,1,0,0,0
广东,肇庆,2021-11-20,47,0,46,0,1,0,0,0
广东,肇庆,2021-11-19,47,0,46,0,1,0,0,0
广东,肇庆,2021-11-18,47,0,46,0,1,0,0,0
广东,肇庆,2021-11-17,47,0,46,0,1,0,0,0
广东,肇庆,2021-11-16,47,0,46,0,1,0,0,0
广东,肇庆,2021-11-15,47,0,46,0,1,0,0,0
广东,肇庆,2021-11-14,47,0,46,0,1,0,0,0
广东,肇庆,2021-11-13,47,0,46,0,1,0,0,0
广东,肇庆,2021-11-12,47,0,46,0,1,0,0,0
广东,肇庆,2021-11-11,47,0,46,0,1,0,0,0
广东,肇庆,2021-11-10,47,0,46,0,1,0,0,0
广东,肇庆,2021-11-09,47,0,46,0,1,0,0,0
广东,肇庆,2021-11-08,47,0,46,0,1,0,0,0
广东,肇庆,2021-11-07,47,0,46,0,1,0,0,0
广东,肇庆,2021-11-06,47,0,46,0,1,0,0,0
广东,肇庆,2021-11-05,47,0,46,0,1,0,0,0
广东,肇庆,2021-11-04,47,0,46,0,1,0,0,0
广东,肇庆,2021-11-03,47,0,46,0,1,0,0,0
广东,肇庆,2021-11-02,47,0,46,0,1,0,0,0
广东,肇庆,2021-11-01,47,0,46,0,1,0,0,0
广东,肇庆,2021-10-31,47,0,46,0,1,0,0,0
广东,肇庆,2021-10-30,47,0,46,0,1,0,0,0
广东,肇庆,2021-10-29,47,0,46,0,1,0,0,0
广东,肇庆,2021-10-28,47,0,46,0,1,0,0,0
广东,肇庆,2021-10-27,47,0,46,0,1,0,0,0
广东,肇庆,2021-10-26,47,0,46,0,1,0,0,0
广东,肇庆,2021-10-25,47,0,46,0,1,0,0,0
广东,肇庆,2021-10-24,47,0,46,0,1,0,0,0
广东,肇庆,2021-10-23,47,0,46,0,1,0,0,0
广东,肇庆,2021-10-22,47,0,46,0,1,0,0,0
广东,肇庆,2021-10-21,47,0,46,0,1,0,0,0
广东,肇庆,2021-10-20,47,0,46,0,1,0,0,0
广东,肇庆,2021-10-19,47,0,46,0,1,0,0,0
广东,肇庆,2021-10-18,47,0,46,0,1,0,0,0
广东,肇庆,2021-10-17,47,0,46,0,1,0,0,0
广东,肇庆,2021-10-16,47,0,46,0,1,0,0,0
广东,肇庆,2021-10-15,47,0,46,0,1,0,0,0
广东,肇庆,2021-10-14,47,0,46,0,1,0,0,0
广东,肇庆,2021-10-13,47,0,46,0,1,0,0,0
广东,肇庆,2021-10-12,47,0,46,0,1,0,0,0
广东,肇庆,2021-10-11,47,0,46,0,1,0,0,0
广东,肇庆,2021-10-10,47,0,46,0,1,0,0,0
广东,肇庆,2021-10-09,47,0,46,0,1,0,0,0
广东,肇庆,2021-10-08,47,0,46,0,1,0,0,0
广东,肇庆,2021-10-07,47,0,46,0,1,0,0,0
广东,肇庆,2021-10-06,47,0,46,0,1,0,0,0
广东,肇庆,2021-10-05,47,0,46,0,1,0,0,0
广东,肇庆,2021-10-04,47,0,46,0,1,0,0,0
广东,肇庆,2021-10-03,47,0,46,0,1,0,0,0
广东,肇庆,2021-10-02,47,0,46,0,1,0,0,0
广东,肇庆,2021-10-01,47,0,46,0,1,0,0,0
广东,肇庆,2021-09-30,47,0,46,0,1,0,0,0
广东,肇庆,2021-09-29,47,0,46,0,1,0,0,0
广东,肇庆,2021-09-28,47,0,46,0,1,0,0,0
广东,肇庆,2021-09-27,47,0,46,0,1,0,0,0
广东,肇庆,2021-09-26,47,0,46,0,1,0,0,0
广东,肇庆,2021-09-25,47,0,46,0,1,0,0,0
